Series_reference,Period,Value,Unit,Seasonality,Series_name,RBNZ_seriesID,Transaction,Transaction_label,Asset_type,Sector,Sector_name
SNEQ.SG15ALE00000AFL0483S500,1999.03,2382,NZDm,A,Consumer loans with non-bank lending institutions,HHAL.QB12.D70,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0484S500,1999.03,121,NZDm,A,Other consumer loans,HHAL.QB12.F,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0461S500,1999.03,40954,NZDm,A,Total housing loans,HHAL.QB11,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0462S500,1999.03,37885,NZDm,A,Housing loans with registered banks,HHAL.QB11.D01,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0463S500,1999.03,1299,NZDm,A,Housing loans with non-bank lending institutions,HHAL.QB11.D70,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0464S500,1999.03,1770,NZDm,A,Other housing loans,HHAL.QB11.F,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0471S500,1999.03,57735,NZDm,A,Housing loans (including rental properties),HHAL.QM22,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0485S500,1999.03,2650,NZDm,A,Student loans,HHAL.QB15,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AN70000S500,1999.03,223000,NZDm,A,Housing and land value (including rental properties),HHAL.QC1,LE,Closing balance sheet,AN310,5,Households
SNEQ.SG15ALE00000AN60000S500,1999.03,178000,NZDm,A,Housing and land value,HHAL.QC6,LE,Closing balance sheet,AN6,5,Households
SNEQ.SG15ALE00000B900000S500,1999.03,440372,NZDm,A,Net wealth,HHAL.QC3,LE,Closing balance sheet,B90,5,Households
SNEQ.SG15ALE00000B910000S500,1999.03,262372,NZDm,A,Net financial wealth,HHAL.QC5,LE,Closing balance sheet,B91,5,Households
SNEQ.SG15ALE00000AFA0000S500,1999.06,319493,NZDm,A,Total Household financial assets,HHAL.QA,LE,Closing balance sheet,AFA,5,Households
SNEQ.SG15ALE00000AFA0211S500,1999.06,1045,NZDm,A,Currency,HHAL.QA5,LE,Closing balance sheet,AFA02,5,Households
SNEQ.SG15ALE00000AFA0280S500,1999.06,40669,NZDm,A,Total deposits,HHAL.QA1,LE,Closing balance sheet,AFA02,5,Households
SNEQ.SG15ALE00000AFA0281S500,1999.06,37049,NZDm,A,Deposits with registered banks,HHAL.QA1.D01,LE,Closing balance sheet,AFA02,5,Households
SNEQ.SG15ALE00000AFA0282S500,1999.06,3620,NZDm,A,Deposits with non-bank deposit takers,HHAL.QA1.D70,LE,Closing balance sheet,AFA02,5,Households
SNEQ.SG15ALE00000AFA0300S500,1999.06,2341,NZDm,A,Total debt securities,HHAL.QA2,LE,Closing balance sheet,AFA03,5,Households
SNEQ.SG15ALE00000AFA0381S500,1999.06,1197,NZDm,A,Central government debt securities,HHAL.QA2.P01,LE,Closing balance sheet,AFA03,5,Households
SNEQ.SG15ALE00000AFA0382S500,1999.06,319,NZDm,A,Local government debt securities,HHAL.QA2.P05,LE,Closing balance sheet,AFA03,5,Households
SNEQ.SG15ALE00000AFA0383S500,1999.06,825,NZDm,A,Other debt securities,HHAL.QA2.Q,LE,Closing balance sheet,AFA03,5,Households
SNEQ.SG15ALE00000AFA0400S500,1999.06,1360,NZDm,A,Loans,HHAL.QA6,LE,Closing balance sheet,AFA04,5,Households
SNEQ.SG15ALE00000AFA0500S500,1999.06,230427,NZDm,A,Total equity and investment fund shares,HHAL.QA4,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0510S500,1999.06,205739,NZDm,A,Total equity,HHAL.QA40,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0581S500,1999.06,63475,NZDm,A,NZ listed shares,HHAL.QA41.ZN,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0582S500,1999.06,5000,NZDm,A,Overseas listed shares,HHAL.QA41.ZF,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0512S500,1999.06,17141,NZDm,A,NZ unlisted shares,HHAL.QA43.Q03,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0520S500,1999.06,24688,NZDm,A,Total investment fund shares,HHAL.QA46,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0522S500,1999.06,24688,NZDm,A,Investment fund shares,HHAL.QA46.F34,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0513S500,1999.06,120123,NZDm,A,Equity in unincorporated NZ businesses,HHAL.QA43.Q04,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0600S500,1999.06,43651,NZDm,A,Total insurance technical reserves,HHAL.QA3.F,LE,Closing balance sheet,AFA06,5,Households
SNEQ.SG15ALE00000AFA0621S500,1999.06,12358,NZDm,A,Net equity in life insurance reserves,HHAL.QA3.F03,LE,Closing balance sheet,AFA06,5,Households
SNEQ.SG15ALE00000AFA0631S500,1999.06,31293,NZDm,A,Net equity in superannuation funds,HHAL.QA3.F05,LE,Closing balance sheet,AFA06,5,Households
SNEQ.SG15ALE00000AFA0681S500,1999.06,43651,NZDm,A,Net equity in life insurance and superannuation funds,HHAL.QA3.F01,LE,Closing balance sheet,AFA06,5,Households
